id_municipio,sigla_uf,ano,populacao
1505205,PA,2019,32512
1505205,PA,2022,33886
1505304,PA,2017,71078
1505304,PA,2019,73096
1505304,PA,2022,76140
1505403,PA,2017,17356
1505403,PA,2019,17842
1505403,PA,2022,17836
1505437,PA,2017,31921
1505437,PA,2019,32832
1505437,PA,2022,26570
1505486,PA,2017,46383
1505486,PA,2019,47706
1505486,PA,2022,43527
1505494,PA,2017,7386
1505494,PA,2019,7589
1505494,PA,2022,6872
1505502,PA,2017,110026
1505502,PA,2019,113145
1505502,PA,2022,104883
1505536,PA,2017,202356
1505536,PA,2019,208273
1505536,PA,2022,271577
1505551,PA,2017,5341
1505551,PA,2019,5483
1505551,PA,2022,6772
1505601,PA,2017,7860
1505601,PA,2019,8077
1505601,PA,2022,8315
1505635,PA,2017,12632
1505635,PA,2019,12981
1505635,PA,2022,12794
1505650,PA,2017,30109
1505650,PA,2019,30982
1505650,PA,2022,18602
1505700,PA,2017,30219
1505700,PA,2019,31082
1505700,PA,2022,24913
1505809,PA,2017,60322
1505809,PA,2019,62043
1505809,PA,2022,67288
1505908,PA,2017,39991
1505908,PA,2019,41135
1505908,PA,2022,40709
1506005,PA,2017,29067
1506005,PA,2019,29866
1506005,PA,2022,35655
1506104,PA,2017,10534
1506104,PA,2019,10825
1506104,PA,2022,10700
1506112,PA,2017,13237
1506112,PA,2019,13608
1506112,PA,2022,11534
1506138,PA,2017,82464
1506138,PA,2019,84787
1506138,PA,2022,91227
1506161,PA,2017,17705
1506161,PA,2019,18193
1506161,PA,2022,17965
1506187,PA,2017,50925
1506187,PA,2019,52357
1506187,PA,2022,35182
1506195,PA,2017,49093
1506195,PA,2019,50510
1506195,PA,2022,41975
1506203,PA,2017,39569
1506203,PA,2019,40675
1506203,PA,2022,44451
1506302,PA,2017,23096
1506302,PA,2019,23752
1506302,PA,2022,24701
1506351,PA,2017,20492
1506351,PA,2019,21079
1506351,PA,2022,21089
1506401,PA,2017,9845
1506401,PA,2019,10128
1506401,PA,2022,6820
1506500,PA,2017,68836
1506500,PA,2019,70801
1506500,PA,2022,68963
1506559,PA,2017,19316
1506559,PA,2019,19848
1506559,PA,2022,20341
1506583,PA,2017,20849
1506583,PA,2019,21449
1506583,PA,2022,17639
1506609,PA,2017,24186
1506609,PA,2019,24861
1506609,PA,2022,24583
1506708,PA,2017,70764
1506708,PA,2019,72817
1506708,PA,2022,44526
1506807,PA,2017,296302
1506807,PA,2019,304589
1506807,PA,2022,351220
1506906,PA,2017,6526
1506906,PA,2019,6709
1506906,PA,2022,6116
1507003,PA,2017,30611
1507003,PA,2019,31482
1507003,PA,2022,28282
1507102,PA,2017,17563
1507102,PA,2019,18050
1507102,PA,2022,15226
1507151,PA,2017,24859
1507151,PA,2019,25557
1507151,PA,2022,20970
1507201,PA,2017,31123
1507201,PA,2019,31989
1507201,PA,2022,30144
1507300,PA,2017,124806
1507300,PA,2019,128481
1507300,PA,2022,81161
1507409,PA,2017,15454
1507409,PA,2019,15882
1507409,PA,2022,14912
1507458,PA,2017,24188
1507458,PA,2019,24847
1507458,PA,2022,24243
1507466,PA,2017,5970
1507466,PA,2019,6139
1507466,PA,2022,4264
1507474,PA,2017,22415
1507474,PA,2019,23045
1507474,PA,2022,20593
1507508,PA,2017,13616
1507508,PA,2019,13996
1507508,PA,2022,13446
1507607,PA,2017,57364
1507607,PA,2019,58986
1507607,PA,2022,52810
1507706,PA,2017,25904
1507706,PA,2019,26640
1507706,PA,2022,31336
1507755,PA,2017,5766
1507755,PA,2019,5930
1507755,PA,2022,5295
1507805,PA,2017,11357
1507805,PA,2019,11658
1507805,PA,2022,22651
1507904,PA,2017,24682
1507904,PA,2019,25374
1507904,PA,2022,24183
1507953,PA,2017,103321
1507953,PA,2019,106339
1507953,PA,2022,84206
1507961,PA,2017,11399
1507961,PA,2019,11720
1507961,PA,2022,10404
1507979,PA,2017,18257
1507979,PA,2019,18769
