id_municipio,sigla_uf,ano,valor
1702307,TO,2017,5323863.23
1714880,TO,2017,10364628.51
1707652,TO,2017,4101496.88
1718899,TO,2017,2862966.19
1717008,TO,2017,3303338.25
1721109,TO,2017,5200556.29
1703057,TO,2017,47043.0
1703800,TO,2017,5561230.02
1701051,TO,2017,3065729.03
1720200,TO,2017,9985657.17
1720309,TO,2017,3357885.24
1718451,TO,2017,2899595.18
1720150,TO,2017,1929194.8
1702208,TO,2017,19988855.61
1701903,TO,2017,5997476.8
1715150,TO,2017,1093565.5
1710706,TO,2017,5983776.49
1721000,TO,2017,237630029.41
1706258,TO,2017,2196093.17
1711902,TO,2017,9980828.74
1704105,TO,2017,2337750.84
1703305,TO,2017,3657943.37
1711100,TO,2017,2179251.09
1705102,TO,2017,3536925.23
1718881,TO,2017,2965592.0
1712702,TO,2017,2478007.87
1718550,TO,2017,5405658.18
1708205,TO,2017,13532819.39
1715002,TO,2017,2573964.78
1702703,TO,2017,2117252.48
1704600,TO,2017,2079647.54
1722081,TO,2017,7047986.33
1710508,TO,2017,5114860.91
1701002,TO,2017,6599633.77
1718303,TO,2017,8075011.88
1707009,TO,2017,14187269.06
1717206,TO,2017,2868169.57
1700400,TO,2017,5243467.88
1715705,TO,2017,5292803.1
1705557,TO,2017,2813832.5
1715259,TO,2017,2758912.14
5101308,MT,2017,5388717.76
5107883,MT,2017,2949382.55
5103361,MT,2017,3787489.09
5101704,MT,2017,16947016.0
5107065,MT,2017,13423175.4
5102637,MT,2017,35122577.63
5105606,MT,2017,10878001.04
5102793,MT,2017,8380117.55
5100201,MT,2017,22302269.05
5103254,MT,2017,24469100.13
5108907,MT,2017,8035773.11
5106109,MT,2017,11777728.01
5102694,MT,2017,3643358.36
5106273,MT,2017,3108803.27
5106778,MT,2017,5980355.21
5104542,MT,2017,5282148.63
5106315,MT,2017,3423979.63
5107107,MT,2017,11320204.16
5106307,MT,2017,18013820.51
5107776,MT,2017,5145330.55
5107263,MT,2017,3038019.9
5106174,MT,2017,4989065.4
5106208,MT,2017,2899139.22
5100607,MT,2017,11728932.99
5103452,MT,2017,5177700.63
5108600,MT,2017,14175145.01
5103379,MT,2017,9802826.81
5105622,MT,2017,13746654.81
5106224,MT,2017,42015364.25
5101258,MT,2017,9333326.61
5106000,MT,2017,4481142.95
5104500,MT,2017,3467612.96
5107578,MT,2017,4886638.32
5102678,MT,2017,35746863.14
5106703,MT,2017,2280142.64
5103601,MT,2017,4139490.23
5100359,MT,2017,5527058.29
3306107,RJ,2017,40737617.07
3301108,RJ,2017,14757220.0
3301157,RJ,2017,12737009.62
3303500,RJ,2017,310794228.42
3305505,RJ,2017,66970251.04
3300100,RJ,2017,143340438.18
3301504,RJ,2017,13175956.18
3302205,RJ,2017,60196752.03
3302908,RJ,2017,20467659.73
3304524,RJ,2017,110054638.84
3303401,RJ,2017,103797708.08
3305307,RJ,2017,7694787.62
3301801,RJ,2017,12607258.08
3303203,RJ,2017,43987351.92
3304151,RJ,2017,39623596.35
3301702,RJ,2017,546061122.03
3300902,RJ,2017,10578345.72
3305158,RJ,2017,18473530.41
3302106,RJ,2017,12982271.32
3300936,RJ,2017,14639007.54
3305000,RJ,2017,48953187.69
3300407,RJ,2017,108761732.07
3300704,RJ,2017,171880168.96
3302270,RJ,2017,73793960.3
3300233,RJ,2017,50142148.57
3300803,RJ,2017,41267205.87
3301009,RJ,2017,296693273.86
3301876,RJ,2017,22908752.46
3302700,RJ,2017,146300177.06
3303005,RJ,2017,17527647.33
3300258,RJ,2017,25291080.99
2210607,PI,2017,21462651.47
2210383,PI,2017,2794131.69
2205805,PI,2017,21155474.72
2202174,PI,2017,10288241.32
2208502,PI,2017,13143648.9
2208908,PI,2017,6470918.86
2209971,PI,2017,8336395.99
2206753,PI,2017,6191891.1
2200905,PI,2017,4584387.02
2202505,PI,2017,8939396.78
2205607,PI,2017,4686302.86
2202083,PI,2017,6165312.14
2208874,PI,2017,5929926.0
2205458,PI,2017,6043925.63
2203305,PI,2017,12427378.33
