id_municipio,sigla_uf,ano,populacao
1503002,PA,2019,7194
1503044,PA,2017,19746
1503044,PA,2019,20304
1503077,PA,2017,25363
1503077,PA,2019,26066
1503093,PA,2017,39352
1503093,PA,2019,40475
1503101,PA,2017,32458
1503101,PA,2019,33376
1503200,PA,2017,37753
1503200,PA,2019,38807
1503309,PA,2017,60994
1503309,PA,2019,62698
1503408,PA,2017,11388
1503408,PA,2019,11711
1503457,PA,2017,62237
1503457,PA,2019,64053
1503507,PA,2017,31673
1503507,PA,2019,32550
1503606,PA,2017,98523
1503606,PA,2019,101247
1503705,PA,2017,51835
1503705,PA,2019,53269
1503754,PA,2017,8059
1503754,PA,2019,8239
1503804,PA,2017,57526
1503804,PA,2019,59155
1503903,PA,2017,56325
1503903,PA,2019,57943
1504000,PA,2017,28138
1504000,PA,2019,28935
1504059,PA,2017,29260
1504059,PA,2019,30077
1504109,PA,2017,8316
1504109,PA,2019,8548
1504208,PA,2017,271594
1504208,PA,2019,279349
1504307,PA,2017,28679
1504307,PA,2019,29473
1504406,PA,2017,27569
1504406,PA,2019,28336
1504422,PA,2017,127858
1504422,PA,2019,131521
1504455,PA,2017,30726
1504455,PA,2019,31597
1504505,PA,2017,26897
1504505,PA,2019,27654
1504604,PA,2017,30277
1504604,PA,2019,31136
1504703,PA,2017,79825
1504703,PA,2019,82094
1504752,PA,2017,15646
1504752,PA,2019,16084
1504802,PA,2017,56466
1504802,PA,2019,58032
1504901,PA,2017,39231
1504901,PA,2019,40349
1504950,PA,2017,20789
1504950,PA,2019,21368
1504976,PA,2017,16221
1504976,PA,2019,16678
1505007,PA,2017,14942
1505007,PA,2019,15363
1505031,PA,2017,25071
1505031,PA,2019,25762
1505064,PA,2017,73802
1505064,PA,2019,75919
1505106,PA,2017,50727
1505106,PA,2019,52137
1505205,PA,2017,31619
1505205,PA,2019,32512
1505304,PA,2017,71078
1505304,PA,2019,73096
1505403,PA,2017,17356
1505403,PA,2019,17842
1505437,PA,2017,31921
1505437,PA,2019,32832
1505486,PA,2017,46383
1505486,PA,2019,47706
1505494,PA,2017,7386
1505494,PA,2019,7589
1505502,PA,2017,110026
1505502,PA,2019,113145
1505536,PA,2017,202356
1505536,PA,2019,208273
1505551,PA,2017,5341
1505551,PA,2019,5483
1505601,PA,2017,7860
1505601,PA,2019,8077
1505635,PA,2017,12632
1505635,PA,2019,12981
1505650,PA,2017,30109
1505650,PA,2019,30982
1505700,PA,2017,30219
