id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,DEA_RCOI,DEA_RCOP,DEA_RVOI,DEA_RVOP,DEA_RNDOI,DEA_RNCOI,DEA_scale_efficiency,DEA_returns_nature
3511706,SP,2019,17190,Charqueada,376524000,17887293,1475,6.6,5.3,0.0,0.2,21903.66,12126.98,0.32590514664016784,0.32590514664017556,0.4414049735379681,1.0,0.3259051466401679,0.4414049735379682,0.7383359186643479,Crescente
3512001,SP,2019,18468,Colina,965665000,24363463,1929,6.6,4.8,0.0,0.4,52288.55,12630.1,0.17105994400398067,0.17105994400398167,0.42180986011872496,1.0,0.17105994400398167,0.42180986011872496,0.4055380401867163,Decrescente
3512100,SP,2019,6210,Colômbia,308737000,13498767,957,6.8,6.0,0.0,0.7,49716.1,14105.29,0.1843151755200959,0.18431517552009605,0.39730673844386555,1.0,0.18431517552009588,0.3973067384438653,0.4639115264996628,Crescente
3512209,SP,2019,28050,Conchal,715468000,26192246,2165,6.6,5.8,0.0,1.4,25506.88,12098.04,0.2989067785586839,0.2989067785586838,0.45362255568087495,1.0,0.2989067785586839,0.45362255568087473,0.6589327951517602,Crescente
3512308,SP,2019,17896,Conchas,380967000,19013960,1620,6.9,5.4,0.0,0.0,21287.83,11737.01,0.34945155144917683,0.3494515514491729,0.5642033192439094,1.0,0.3494515514491768,0.5642033192439094,0.6193716689180027,Decrescente
3512704,SP,2019,4055,Corumbataí,241496000,7852599,569,6.0,5.3,0.0,0.0,59555.12,13800.7,0.14246216734962172,0.14246216734962114,0.4223018190589036,1.0,0.1424621673496218,0.42230181905898684,0.33734680013242085,Crescente
3512803,SP,2019,72252,Cosmópolis,1737397000,60300525,6195,6.6,5.8,0.1,0.5,24046.35,9733.74,0.33299307943858864,0.3329930794385887,0.449874766464053,0.9990000000000017,0.3329930794385888,0.44987476646405294,0.7401906136142363,Crescente
3512902,SP,2019,7307,Cosmorama,345132000,9606226,706,6.9,5.6,0.0,0.0,47233.06,13606.55,0.19153549812254383,0.191535498122521,0.48668178193612166,1.0,0.191535498122544,0.4866817819361218,0.39355386873241005,Crescente
3513009,SP,2019,249210,Cotia,13381293000,236415724,19340,6.0,4.5,0.2,1.9,53694.85,12224.18,0.1536649664362694,0.15366496643626945,0.22883248906653836,0.9979999999999972,0.15366496643626948,0.22883248906653836,0.671517261657665,Decrescente
3513108,SP,2019,35292,Cravinhos,1242303000,28690089,2426,5.8,5.3,0.4,0.2,35200.7,11826.09,0.2206162234997318,0.22061622349973112,0.3152735419282481,0.9979999999999999,0.22061622349973184,0.3152735419282481,0.6997612998236973,Decrescente
3513207,SP,2019,8631,Cristais Paulista,206687000,11806506,1052,6.3,4.7,0.0,0.9,23947.05,11222.91,0.2987151018218003,0.2987151018217992,0.46212804242130173,1.0,0.2987151018218002,0.46212804242130173,0.6463903386098239,Decrescente
3513405,SP,2019,82238,Cruzeiro,2420874000,54682912,4812,6.0,5.1,0.4,1.8,29437.41,11363.86,0.25015256798014185,0.25015256798014185,0.3225558215430461,0.9960000000000002,0.25015256798014185,0.3225558215430461,0.775532640469669,Decrescente
3513504,SP,2019,130705,Cubatão,15153099000,186381785,9856,6.0,5.0,0.2,0.3,115933.58,18910.49,0.07572386388992423,0.0757238638899237,0.11831083208207743,0.997999999999997,0.0757238638899244,0.11831083208207764,0.6400416813685433,Crescente
3513702,SP,2019,33718,Descalvado,1629218000,33825161,2769,6.4,5.5,0.1,1.0,48318.94,12215.66,0.18026411441920873,0.18026411441920884,0.26640975175816045,0.9990000000000019,0.1802641144192088,0.26640975175816045,0.6766423272029757,Decrescente
3513900,SP,2019,11146,Divinolândia,311555000,9226434,841,6.4,4.5,0.1,2.3,27952.18,10970.79,0.2745048223236574,0.2745048223236574,0.3714387675411997,0.9990000000000003,0.27450482232365714,0.37143876754119964,0.7390311575196834,Crescente
3514106,SP,2019,27315,Dois Córregos,686124000,23627287,2142,6.7,6.1,0.0,0.0,25118.95,11030.48,0.3260753453866786,0.32607534538668204,0.584345895580958,1.0,0.32607534538667865,0.5843458955809019,0.5580176875589993,Crescente
3514304,SP,2019,8873,Dourado,471329000,10547390,656,6.3,5.6,0.0,1.0,53119.46,16078.34,0.1583503327514542,0.15835033275145408,0.3340992218322564,1.0,0.15835033275145416,0.3340992218322564,0.4739619921382465,Decrescente
3514601,SP,2019,9868,Dumont,256472000,12032278,1052,6.8,5.3,0.0,0.5,25990.27,11437.53,0.3040977148243933,0.30409771482439174,0.4740143694859738,1.0,0.30409771482439363,0.47401436948597386,0.641536911959357,Crescente
3514908,SP,2019,17772,Elias Fausto,742914000,23131752,2262,6.7,5.2,0.0,0.0,41802.5,10226.24,0.21661701767967767,0.21661701767965444,0.6303016274099619,1.0,0.21661701767967728,0.6303016274099619,0.343671994898381,Decrescente
3514924,SP,2019,3651,Elisiário,65008000,4150479,363,8.3,6.1,0.0,0.0,17805.53,11433.83,0.46925395868855824,0.46925395868856123,0.6871861834573046,1.0,0.4692539586885578,0.6871861834573045,0.6828629125336791,Crescente
3515004,SP,2019,273726,Embu das Artes,14698367000,189049607,13394,6.0,5.4,0.1,0.7,53697.37,14114.5,0.15647104431398726,0.15647104431398723,0.23390247847743728,0.9989999999999992,0.15647104431398726,0.23390247847743728,0.6689584707802948,Decrescente
3515103,SP,2019,69385,Embu-Guaçu,1248809000,43778238,2262,5.7,4.6,0.1,1.1,17998.26,19353.77,0.28769498386763487,0.2876949838676263,0.32771611151220403,0.9989999999999977,0.28769498386763487,0.32771611151220387,0.8778786692546278,Crescente
3515129,SP,2019,3214,Emilianópolis,61777000,4198878,265,7.4,5.7,0.0,0.8,19221.22,15844.82,0.35158250323687956,0.35158250323687634,0.4086434133661385,1.0,0.3515825032368795,0.4086434133661385,0.8603650315583743,Decrescente
3515608,SP,2019,5783,Fernando Prestes,204573000,7857810,633,6.8,5.8,0.0,0.0,35374.89,12413.6,0.24170686452610124,0.24170686452611775,0.5263451260830312,1.0,0.24170686452610168,0.5263451260829237,0.45921744602223574,Crescente
3515806,SP,2019,1464,Flora Rica,35381000,2722121,161,6.7,4.2,0.0,0.0,24167.35,16907.58,0.275946018554219,0.2759460185542207,0.38122639161174626,1.0,0.27594601855421913,0.3812263916117462,0.7238376582155721,Crescente
3516903,SP,2019,10869,General Salgado,235366000,9860229,950,6.2,5.0,0.0,0.0,21654.8,10379.19,0.32629070210151173,0.32629070210151223,0.5785138339311812,1.0,0.3262907021015118,0.5785138339310911,0.5640153838401151,Crescente
3517505,SP,2019,21454,Guapiaçu,622885000,20256971,2228,6.0,5.3,0.0,0.0,29033.51,9092.0,0.2725529591641191,0.2725529591641175,0.6410097574005507,1.0,0.2725529591641192,0.6410097574005508,0.425193151925467,Crescente
