id_municipio,sigla_uf,ano,quantidade_matricula
2930154,BA,2017,5637.0
2927804,BA,2017,806.0
2914109,BA,2017,1247.0
2904852,BA,2017,2874.0
2903805,BA,2017,3389.0
2911402,BA,2017,2155.0
2915908,BA,2017,1101.0
2915403,BA,2017,1264.0
2931103,BA,2017,686.0
2928950,BA,2017,1000.0
2925253,BA,2017,2595.0
2907509,BA,2017,4479.0
2923001,BA,2017,6548.0
2905800,BA,2017,5898.0
2925758,BA,2017,4697.0
2917805,BA,2017,3349.0
2907400,BA,2017,530.0
2917300,BA,2017,4001.0
2918902,BA,2017,564.0
2921054,BA,2017,1774.0
2931707,BA,2017,1474.0
2900603,BA,2017,646.0
1600204,AP,2017,1012.0
2709301,AL,2017,8727.0
2702355,AL,2017,4153.0
2707800,AL,2017,1547.0
2708709,AL,2017,1511.0
2706406,AL,2017,3614.0
2706802,AL,2017,2698.0
2701357,AL,2017,1112.0
1301100,AM,2017,5150.0
1303957,AM,2017,1053.0
1200351,AC,2017,4771.0
3203130,ES,2017,1617.0
3204500,ES,2017,811.0
3202207,ES,2017,2093.0
3201159,ES,2017,1039.0
3202108,ES,2017,1376.0
3200508,ES,2017,790.0
2313708,CE,2017,905.0
2303907,CE,2017,1909.0
2302404,CE,2017,7087.0
2305100,CE,2017,877.0
2307809,CE,2017,4759.0
2314102,CE,2017,9351.0
2311108,CE,2017,2331.0
5219738,GO,2017,458.0
5200134,GO,2017,1381.0
5205307,GO,2017,1048.0
5215231,GO,2017,7255.0
5208608,GO,2017,4194.0
5207402,GO,2017,691.0
5220454,GO,2017,15521.0
5214606,GO,2017,2895.0
5212956,GO,2017,303.0
2912400,BA,2017,2132.0
2904407,BA,2017,1289.0
2919157,BA,2017,3926.0
2932903,BA,2017,9739.0
2911501,BA,2017,941.0
2927200,BA,2017,4040.0
2930774,BA,2017,2857.0
2919603,BA,2017,2254.0
2912202,BA,2017,3405.0
2927903,BA,2017,1081.0
2908002,BA,2017,2478.0
2918407,BA,2017,22880.0
2904308,BA,2017,2227.0
2910750,BA,2017,2487.0
2931202,BA,2017,2498.0
2928109,BA,2017,5340.0
2916807,BA,2017,2990.0
2903904,BA,2017,9867.0
2929701,BA,2017,2633.0
2919058,BA,2017,1135.0
2922201,BA,2017,929.0
2913002,BA,2017,1832.0
2911253,BA,2017,571.0
2908507,BA,2017,2897.0
2921906,BA,2017,1879.0
2917334,BA,2017,1539.0
1600535,AP,2017,2475.0
1600709,AP,2017,1420.0
2701308,AL,2017,3556.0
2704401,AL,2017,2700.0
2708956,AL,2017,2745.0
2700102,AL,2017,3621.0
2705705,AL,2017,2993.0
1303908,AM,2017,5225.0
3202256,ES,2017,330.0
3203106,ES,2017,843.0
2302503,CE,2017,5106.0
