id_municipio,sigla_uf,ano,municipio_nome,populacao,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,flag_populacao_missing,flag_pib_missing,flag_gastos_missing,flag_matriculas_missing,flag_ideb_missing,flag_abandono_missing
1100700,RO,2017,Campo Novo de Rondônia,14484,266520000,12055684,1607,5.3,,0.2,2.2,18400.99,7501.98,0,0,0,0,1,0
1100700,RO,2019,Campo Novo de Rondônia,14139,274661000,11821591,1238,5.3,,0.3,0.6,19425.77,9548.94,0,0,0,0,1,0
1100809,RO,2017,Candeias do Jamari,25266,491350000,16144750,2692,4.1,,2.4,7.2,19447.08,5997.31,0,0,0,0,1,0
1100809,RO,2019,Candeias do Jamari,26693,548064000,20023528,2278,4.7,,1.5,12.9,20532.12,8789.96,0,0,0,0,1,0
1100908,RO,2017,Castanheiras,3550,110916000,3037893,519,,,0.0,2.3,31243.94,5853.36,0,0,0,0,1,0
1100908,RO,2019,Castanheiras,3052,103993000,4039688,458,,,0.0,0.7,34073.72,8820.28,0,0,0,0,1,0
1100924,RO,2017,Chupinguaia,10593,279877000,11703681,1330,5.2,,0.2,1.0,26420.94,8799.76,0,0,0,0,1,0
1100924,RO,2019,Chupinguaia,11182,304810000,14282728,1077,4.6,,0.0,2.3,27258.99,13261.59,0,0,0,0,1,0
1100940,RO,2017,Cujubim,22443,324735000,15899389,2617,4.5,3.9,0.9,7.5,14469.32,6075.43,0,0,0,0,0,0
1100940,RO,2019,Cujubim,25215,385069000,17240110,2120,4.2,,2.5,3.3,15271.43,8132.13,0,0,0,0,1,0
1101005,RO,2017,Governador Jorge Teixeira,9745,178524000,7452067,1121,5.5,,0.7,7.9,18319.55,6647.7,0,0,0,0,1,0
1101005,RO,2019,Governador Jorge Teixeira,7767,177942000,8261759,946,5.2,,0.5,1.8,22910.0,8733.36,0,0,0,0,1,0
1101104,RO,2017,Itapuã do Oeste,10310,158293000,8893109,1181,4.8,,1.4,,15353.35,7530.15,0,0,0,0,1,1
1101104,RO,2019,Itapuã do Oeste,10458,184657000,12530952,937,5.0,,0.2,,17657.01,13373.48,0,0,0,0,1,1
1101203,RO,2017,Ministro Andreazza,10751,215810000,7237700,881,6.6,5.5,0.4,0.3,20073.48,8215.32,0,0,0,0,0,0
