id_municipio,sigla_uf,ano,ideb_iniciais,ideb_finais
5108105,MT,2017,,
1721109,TO,2017,4.9,
4319356,RS,2017,6.9,
3160959,MG,2017,7.1,
4305900,RS,2017,4.4,
4306072,RS,2017,5.6,
3141702,MG,2017,5.9,
3170800,MG,2017,6.0,
2923803,BA,2017,5.1,
4218806,SC,2017,5.9,
4306379,RS,2017,,
4202701,SC,2017,,
4307831,RS,2017,,
4320578,RS,2017,,
4322533,RS,2017,,
2412203,RN,2017,3.9,
2200103,PI,2017,4.5,
1718865,TO,2017,3.7,
2406403,RN,2017,3.7,
5102702,MT,2017,5.2,
1716307,TO,2017,4.3,
4214201,SC,2017,6.7,
4217501,SC,2017,7.1,
2907806,BA,2017,4.4,
3167707,MG,2017,5.8,
5107578,MT,2017,,
4311601,RS,2017,,
3110400,MG,2017,,
4120200,PR,2017,,
4305850,RS,2017,,4.0
4322525,RS,2017,,
3140605,MG,2017,5.6,
2204808,PI,2017,5.3,
2805703,SE,2017,3.7,
1100122,RO,2017,7.0,
4313334,RS,2017,,
5107941,MT,2017,5.9,
1301605,AM,2017,2.8,
3126752,MG,2017,5.2,
1101484,RO,2017,5.8,
5007695,MS,2017,6.0,
3159803,MG,2017,6.2,
5204706,GO,2017,6.3,
5203962,GO,2017,,
3528106,SP,2017,,
3108602,MG,2017,,4.0
4322152,RS,2017,,
3525904,SP,2017,7.1,
2904407,BA,2017,4.7,
5210158,GO,2017,7.0,
4215752,SC,2017,5.9,
1718907,TO,2017,3.8,
5203401,GO,2017,6.2,
4313060,RS,2017,6.0,
5221007,GO,2017,6.0,
1400605,RR,2017,4.2,
4310504,RS,2017,,
4311254,RS,2017,,
5102686,MT,2017,5.8,
3159902,MG,2017,6.1,
2508109,PB,2017,4.7,
5214705,GO,2017,5.8,
1100262,RO,2017,4.7,
2928059,BA,2017,3.7,
4211108,SC,2017,5.4,
1709302,TO,2017,5.7,
2410801,RN,2017,4.6,
3551801,SP,2017,6.1,
4308854,RS,2017,6.2,
5103353,MT,2017,4.9,
3125606,MG,2017,5.4,
1701051,TO,2017,5.0,
2505501,PB,2017,,
4307302,RS,2017,,
