id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1501303,PA,2017,121190,Barcarena,4818669000,111782905,16626,4.0,3.6,1.4,3.9,39761.28,6723.38
1501303,PA,2019,124680,Barcarena,5364844000,132724542,17527,4.4,3.7,0.6,2.4,43028.91,7572.58
1501402,PA,2017,1452275,Belém,30244780000,476830500,41966,5.1,4.3,1.9,1.6,20825.79,11362.31
1501402,PA,2019,1492745,Belém,32372971000,517282410,42846,5.3,4.4,1.1,1.2,21686.87,12073.06
1501451,PA,2017,17249,Belterra,158065000,17403194,3619,4.6,4.2,1.0,4.0,9163.72,4808.84
1501451,PA,2019,17732,Belterra,163218000,19136435,3313,5.1,4.8,0.0,0.0,9204.71,5776.17
1501501,PA,2017,60990,Benevides,1394023000,36992025,6446,6.2,5.1,0.0,0.0,22856.58,5738.76
1501501,PA,2019,62737,Benevides,1558563000,48621911,6494,6.1,5.3,0.0,0.0,24842.8,7487.21
1501576,PA,2017,16517,Bom Jesus do Tocantins,164637000,12154225,2199,4.7,3.8,2.9,6.8,9967.73,5527.16
1501576,PA,2019,16981,Bom Jesus do Tocantins,174025000,15206478,2139,4.9,4.0,0.8,5.1,10248.22,7109.15
1501725,PA,2017,14689,Brasil Novo,240063000,16393987,3041,5.3,4.4,2.1,5.4,16343.05,5390.99
1501725,PA,2019,15086,Brasil Novo,276410000,19090052,3147,5.6,4.9,0.6,2.3,18322.29,6066.11
1501782,PA,2017,64194,Breu Branco,580409000,51172458,9525,4.4,3.6,2.4,8.4,9041.48,5372.44
1501782,PA,2019,66046,Breu Branco,600242000,58254440,8682,4.4,3.5,2.5,6.2,9088.24,6709.79
1501808,PA,2017,99896,Breves,743334000,124708892,26823,3.5,3.7,4.1,10.1,7441.08,4649.33
1501808,PA,2019,102701,Breves,806109000,129036522,25430,3.6,3.7,4.4,10.1,7849.09,5074.18
1501907,PA,2017,28331,Bujaru,498799000,24892226,5618,4.0,3.7,2.5,8.5,17606.12,4430.8
1501907,PA,2019,29132,Bujaru,413630000,31428585,5223,4.2,3.6,2.3,6.6,14198.48,6017.34
1502103,PA,2017,134100,Cametá,1183561000,133091639,27457,3.8,3.2,3.5,9.2,8825.96,4847.28
1502103,PA,2019,137890,Cametá,1137121000,147696168,26367,3.7,3.3,3.5,8.1,8246.58,5601.55
1502152,PA,2017,36027,Canaã dos Carajás,4089225000,79759352,9652,5.0,3.6,0.7,2.2,113504.45,8263.51
1502152,PA,2019,37085,Canaã dos Carajás,10704887000,103013280,8514,5.1,4.2,0.3,1.2,288658.14,12099.28
1502301,PA,2017,52839,Capitão Poço,454009000,33993962,7146,3.7,3.4,4.1,8.1,8592.31,4757.06
1502301,PA,2019,54303,Capitão Poço,704295000,46109625,6849,4.4,3.7,2.0,4.6,12969.73,6732.31
1502400,PA,2017,195253,Castanhal,3758255000,124720405,18049,4.8,3.9,1.3,3.3,19248.13,6910.1
1502400,PA,2019,200793,Castanhal,4034041000,124948791,17765,4.8,4.0,1.0,2.0,20090.55,7033.42
1502509,PA,2017,23066,Chaves,181414000,23485229,5593,3.3,3.1,3.0,8.4,7865.0,4199.04
1502509,PA,2019,23717,Chaves,194500000,27542010,5538,3.1,3.5,3.4,8.8,8200.87,4973.28
1502707,PA,2017,46571,Conceição do Araguaia,559420000,30213745,4342,4.6,3.5,2.4,6.1,12012.2,6958.49
1502707,PA,2019,47864,Conceição do Araguaia,547713000,36974964,4236,4.7,4.4,1.1,3.6,11443.11,8728.75
1502756,PA,2017,32395,Concórdia do Pará,292381000,38096757,5861,3.8,2.9,2.7,9.1,9025.5,6500.04
1502756,PA,2019,33318,Concórdia do Pará,291977000,41220908,5787,3.7,3.4,1.8,3.3,8763.34,7123.02
1502772,PA,2017,17453,Curionópolis,860118000,21173802,3506,5.3,4.0,1.3,2.3,49281.96,6039.3
1502772,PA,2019,17929,Curionópolis,943189000,31594310,3473,5.4,4.4,0.5,1.6,52606.89,9097.12
1502855,PA,2017,13996,Curuá,120943000,17593224,3173,3.8,3.6,1.8,3.9,8641.25,5544.67
1502855,PA,2019,14393,Curuá,129485000,16979336,2964,4.1,3.9,1.8,4.4,8996.39,5728.52
1502905,PA,2017,38959,Curuçá,276241000,23736443,4677,3.8,3.8,2.5,4.8,7090.56,5075.14
