city_id,state,year,population,city_name,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,is_complete_grouped,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,DEA_returns_nature,rank_vrs,pct_var_vrs,pct_var_scale,category_vrs,category_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,peer_group
2202059,PI,2017,10406,Cabeceiras do Piauí,59083000,8900592,1283,5.5,4.7,0.4,0.4,5677.78,6937.33,15.06,True,0.8743734482023505,0.874373448202333,0.9730876995564938,0.9983691267244581,0.8743734482023506,0.9730876995564931,0.8985556477600791,Increasing,52,,,Efficient,Efficient,0.42271935277043915,0.022447286074150585,0.6932881184607074,0.9051242737320218,Medium
2106631,MA,2017,16908,Matões do Norte,79297000,14668381,2366,5.5,3.6,1.7,6.0,4689.91,6199.65,18.5,True,0.9705588689494044,0.9705588689494007,0.9730182954845426,0.9869739396511443,0.9730182954845423,0.9705588689494044,0.9974723738016524,Increasing,53,,,Efficient,Efficient,0.42264994869848793,0.1213640121157239,0.7365375875316906,0.9225552417346308,Large
2108306,MA,2017,38144,Penalva,187584000,30890526,6548,4.8,3.2,2.2,7.8,4917.79,4717.55,16.47,True,0.9704804281896563,0.9704804281896475,0.9725858216840113,0.9864662012505835,0.9725858216840113,0.9704804281896571,0.9978352619918831,Increasing,54,,,Efficient,Efficient,0.4222174748979567,0.12172690030595457,0.7365375875316906,0.9225552417346308,Mega
2602506,PE,2017,7465,Brejinho,51751000,7963071,1263,6.1,5.9,0.3,1.4,6932.48,6304.89,15.39,True,0.9226662515268135,0.9226662515270846,0.9725723584013739,0.9970000000000007,0.9226662515268116,0.9725723584013739,0.9486864844106905,Decreasing,55,,,Efficient,Efficient,0.4222040116153193,0.07257812272476194,0.6514456149434942,0.8878450486748218,Medium
2919108,BA,2017,9007,Lamarão,48746000,6966939,1531,4.2,3.8,0.7,4.3,5412.01,4550.58,14.29,True,0.9193106481773593,0.9193106481773616,0.9721272514568929,0.997850871398073,0.9193106481773594,0.9721272514568927,0.9456690436356153,Increasing,56,,,Efficient,Efficient,0.4217589046708383,0.06956068194968679,0.6097700253759094,0.9545472888326227,Medium
2313609,CE,2017,34332,Ubajara,509131000,28857091,4842,6.6,5.3,0.0,0.0,14829.63,5959.75,5.67,True,0.5404725958029568,0.5404725958029629,0.9708385418850172,1.0,0.5404725958029574,0.9708385418850172,0.556706983175137,Decreasing,57,,,Efficient,Moderate,0.42047019509896255,-0.31940137851079153,0.7809535445944192,0.8674044749881739,Mega
3145000,MG,2017,14934,Nova Ponte,772973000,13230349,1835,7.4,6.1,0.0,0.0,51759.27,7210.0,1.71,True,0.2224053518026866,0.2224053518027044,0.9693295131027939,1.0,0.22240535180269932,0.969329513102794,0.2294424638849321,Increasing,58,,,Efficient,Inefficient,0.4189611663167393,-0.6466658978009965,0.5298338762762453,0.7526304263708876,Large
2313559,CE,2017,15935,Tururu,101257000,13376160,2694,6.2,4.8,0.6,2.2,6354.38,4965.17,13.21,True,0.93484186977558,0.934841869775582,0.9689374913053441,0.9969351783769973,0.9348418697755801,0.9689374913053445,0.9648113301056905,Increasing,59,,,Efficient,Efficient,0.4185691445192895,0.088702968419762,0.7809535445944192,0.8674044749881739,Large
2922102,BA,2017,27364,Mundo Novo,157975000,15883522,2576,4.8,5.0,0.6,0.9,5773.1,6165.96,10.05,True,0.9224405944130981,0.9224405944131053,0.9683009623949899,0.9969150168347766,0.9224405944130976,0.9683009623949896,0.9526383120920783,Increasing,60,,,Efficient,Efficient,0.41793261560893524,0.07652995040614974,0.6097700253759094,0.9545472888326227,Mega
2306108,CE,2017,23858,Irauçuba,168328000,20834896,3793,6.3,5.1,0.0,1.0,7055.41,5492.99,12.38,True,0.8562220286004847,0.8562220286004885,0.968062288558348,1.0,0.8562220286004849,0.9680622885583484,0.8844699754553838,Increasing,61,,,Efficient,Efficient,0.41769394177229335,0.008361613769455212,0.7809535445944192,0.8674044749881739,Large
2109007,MA,2017,23760,Porto Franco,470765000,20993741,4023,5.9,4.8,0.0,0.0,19813.34,5218.43,4.46,True,0.40866185549284806,0.40866185549289263,0.9667066357296374,1.0,0.40866185549284706,0.9667066357296374,0.4227361646115152,Decreasing,62,,,Efficient,Inefficient,0.4163382889435828,-0.45337219707441334,0.7365375875316906,0.9225552417346308,Large
2105922,MA,2017,11048,Lagoa do Mato,75446000,10017963,1838,6.1,4.8,0.0,0.9,6828.93,5450.47,13.28,True,0.8599616254698933,0.8599616254698987,0.9617016383542412,1.0,0.8599616254698927,0.9617016383542418,0.894208339856366,Increasing,63,,,Efficient,Efficient,0.41133329156818654,0.018099978170437514,0.7365375875316906,0.9225552417346308,Medium
2311959,CE,2017,16331,Salitre,118073000,15501081,3187,6.7,4.8,0.4,2.7,7229.99,4863.85,13.13,True,0.9170905399404395,0.9170905399404419,0.9594681227666549,0.9972361603739135,0.9170905399404398,0.9594681227666549,0.9558322138894846,Decreasing,64,,,Efficient,Efficient,0.4090997759806003,0.07972385220355604,0.7809535445944192,0.8674044749881739,Large
2310001,CE,2017,9285,Palhano,76962000,6547156,1148,6.1,5.5,0.0,0.9,8288.85,5703.1,8.51,True,0.80413918857491,0.8041391885749218,0.9593013504370173,1.0,0.804139188574912,0.9593013504370178,0.8382550365519428,Increasing,65,,,Efficient,Moderate,0.40893300365096263,-0.03785332513398576,0.7809535445944192,0.8674044749881739,Medium
2202729,PI,2017,6054,Cocal dos Alves,44452000,6070106,942,5.8,6.0,1.2,3.7,7342.58,6443.85,13.66,True,0.8995477181918963,0.8995477181918948,0.9583611345135683,0.9880433759754674,0.899547718191896,0.9583611345135683,0.938631258923575,Decreasing,66,,,Efficient,Efficient,0.4079927877275137,0.06252289723764648,0.6932881184607074,0.9051242737320218,Medium
