index,year,population,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,rank_vrs,pct_var_vrs,pct_var_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,is_complete_grouped
enrollments,2019,0.9296071104466802,0.8703040708493455,0.8676512684206636,1.0,0.017806256408180406,0.02093395653560226,0.013305782932995735,-0.020983288449390073,0.07938139686769662,0.017829400737555425,-0.1288577932692635,-0.11323116362548777,-0.11323076367620218,-0.1314104413798669,-0.01847395820283771,-0.11292125165686641,-0.13144216926641095,-0.016941771594390413,0.12912234552298957,-0.051059726038720214,0.07700744081919708,-0.13141044137986696,-0.016941771594389768,-0.01678428353480407,-0.019440041260892146,
ideb_initial_years,2019,0.04112447472296329,0.04958551809107012,0.04134367366997992,0.017806256408180406,1.0,0.8171693918420122,-0.620923901983141,-0.5944762509344461,0.2781206778612545,0.37116709567436196,-0.42638109027151333,-0.28101323901405906,-0.2811852322166018,-0.00870604129572614,0.6266110144883117,-0.28792429699091254,-0.0006928773526028689,-0.5784943809228605,0.03942876422733352,0.09038658724861391,-0.05779670503572305,-0.008706041295726108,-0.5784943809228618,-0.2065767501131357,-0.6231099887597672,
ideb_final_years,2019,0.03531863634738572,0.04461360960343091,0.03864327980311074,0.02093395653560226,0.8171693918420122,1.0,-0.5574694731544124,-0.6526545057471599,0.2415575829246307,0.30232499915892846,-0.34629340693257815,-0.23082576613872047,-0.23020331972478952,0.03690283045980005,0.5727717053452287,-0.2373012557130945,0.044481766910274084,-0.5470610887001786,-0.0126230410111503,0.06632051742174021,-0.026019759333991633,0.03690283045980014,-0.5470610887001801,-0.13658407573673298,-0.5510005065992398,
dropout_rates_initial_years,2019,-0.014868783155402973,-0.02660958608071102,-0.01464699939703163,0.013305782932995735,-0.620923901983141,-0.5574694731544124,1.0,0.7214487116451468,-0.20698501717770712,-0.2919949481553085,0.2967926738150437,0.22171340605674972,0.22251517607147694,-0.03915859106264319,-0.9790325670021136,0.2351994160572177,-0.05408011188868938,0.5474164900731958,0.02596582472157858,-0.09924487752552047,0.11381190390863052,-0.03915859106264302,0.5474164900731959,0.14468354628893024,0.511170442272495,
dropout_rates_final_years,2019,-0.043689929090954024,-0.04702912679788439,-0.03772007591770711,-0.020983288449390073,-0.5944762509344461,-0.6526545057471599,0.7214487116451468,1.0,-0.24094187326865243,-0.3060656308381462,0.33767472275564264,0.26333927499345683,0.2629275780860157,-0.007840101248747393,-0.7511635400076937,0.2732625888531329,-0.01916950941625756,0.5699713311525991,-0.010031059975014434,-0.09500098213977606,0.08050700310636968,-0.007840101248747155,0.5699713311526003,0.16778264995232922,0.53193834367485,
gdp_per_capita,2019,0.07144286087045562,0.12738891119202914,0.09767708546003995,0.07938139686769662,0.2781206778612545,0.2415575829246307,-0.20698501717770712,-0.24094187326865243,1.0,0.5257647669900892,-0.4999025536924295,-0.635203659382903,-0.6347875372438834,-0.5079522233552293,0.2059341298183659,-0.6355265525183024,-0.5056870078488047,-0.5998454541362641,0.48641278999683096,0.024481581976019337,-0.019525798119857742,-0.5079522233552297,-0.5998454541362614,-0.3750538253960375,-0.40529046632569715,
spending_per_student,2019,0.10582347851376395,0.14094591607016596,0.12447011626185848,0.017829400737555425,0.37116709567436196,0.30232499915892846,-0.2919949481553085,-0.3060656308381462,0.5257647669900892,1.0,-0.4251795726557766,-0.6302888595641588,-0.6299511689898816,-0.5975321914503778,0.29326536208053416,-0.6311824086556436,-0.5948211088055997,-0.4004298640085336,0.5948338501885656,-0.07247772001851806,0.04769564457226904,-0.5975321914503782,-0.4004298640085301,-0.568129439327818,-0.5947096359644531,
educ_pct_gdp,2019,-0.13395518932776382,-0.11536904719261613,-0.10709396477567058,-0.1288577932692635,-0.42638109027151333,-0.34629340693257815,0.2967926738150437,0.33767472275564264,-0.4999025536924295,-0.4251795726557766,1.0,0.8052105553208497,0.8047993959438575,0.6376648954109283,-0.296171892629886,0.8073757431414601,0.6329969477892984,0.590455887533171,-0.6525075355288704,-0.005992614298247356,-0.04625560102722636,0.6376648954109281,0.590455887533167,0.5776486243681197,0.6155766733194099,
is_complete_grouped,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA_crs_input,2019,-0.12176207239838403,-0.12805036765616462,-0.11679118292462351,-0.11323116362548777,-0.28101323901405906,-0.23082576613872047,0.22171340605674972,0.26333927499345683,-0.635203659382903,-0.6302888595641588,0.8052105553208497,1.0,0.9996581697972045,0.8705189596122321,-0.21122582331577866,0.999848452192272,0.8676284903031812,0.6357408169086847,-0.8704155537674731,0.06667747321748886,-0.06449711359352969,0.870518959612232,0.63574081690868,0.714418697985556,0.634633450683122,
DEA_crs_output,2019,-0.12171060793989526,-0.12796613959666042,-0.1167397817331802,-0.11323076367620218,-0.2811852322166018,-0.23020331972478952,0.22251517607147694,0.2629275780860157,-0.6347875372438834,-0.6299511689898816,0.8047993959438575,0.9996581697972045,1.0,0.8701022488868074,-0.21158900715587897,0.9995017564017874,0.8672178694278668,0.6355560817310464,-0.8700606425958258,0.0666458110880929,-0.06440863588818377,0.870102248886808,0.6355560817310401,0.7143538176345271,0.6343735151398762,
DEA_vrs_input,2019,-0.13851116782125572,-0.13715366177271685,-0.13067003659258372,-0.1314104413798669,-0.00870604129572614,0.03690283045980005,-0.03915859106264319,-0.007840101248747393,-0.5079522233552293,-0.5975321914503778,0.6376648954109283,0.8705189596122321,0.8701022488868074,1.0,0.05787584902563969,0.8684075480047333,0.999821615668971,0.20574252580196964,-0.9879569614480331,0.2852771663985029,-0.27596887857935387,1.0000000000000004,0.2057425258019632,0.6554891332649785,0.4095554398535899,
DEA_vrs_output,2019,0.011602742035970394,0.024749206052175184,0.011574929810156028,-0.01847395820283771,0.6266110144883117,0.5727717053452287,-0.9790325670021136,-0.7511635400076937,0.2059341298183659,0.29326536208053416,-0.296171892629886,-0.21122582331577866,-0.21158900715587897,0.05787584902563969,1.0,-0.2250144685501256,0.07308941157856949,-0.5590301021226725,-0.041738683932195576,0.11693647304243758,-0.12574173431093294,0.057875849025639435,-0.559030102122673,-0.1469829781250054,-0.5150903328506778,
DEA_irs_input,2019,-0.1218357534774505,-0.12811559303259293,-0.11674225727785612,-0.11292125165686641,-0.28792429699091254,-0.2373012557130945,0.2351994160572177,0.2732625888531329,-0.6355265525183024,-0.6311824086556436,0.8073757431414601,0.999848452192272,0.9995017564017874,0.8684075480047333,-0.2250144685501256,1.0,0.865201209640245,0.6387782081016188,-0.8685009284783227,0.06629975770953377,-0.06404188620537163,0.8684075480047333,0.6387782081016143,0.7134609714725648,0.6379438497074834,
DEA_drs_input,2019,-0.1381216168512673,-0.1367450202467585,-0.1304174627542334,-0.13144216926641095,-0.0006928773526028689,0.044481766910274084,-0.05408011188868938,-0.01916950941625756,-0.5056870078488047,-0.5948211088055997,0.6329969477892984,0.8676284903031812,0.8672178694278668,0.999821615668971,0.07308941157856949,0.865201209640245,1.0,0.20026005171825562,-0.9876211222563522,0.28568075058915404,-0.2765352556210482,0.999821615668971,0.2002600517182498,0.6543295354806968,0.40406806144676216,
DEA_scale_efficiency,2019,-0.019551487382007474,-0.04809842730076718,-0.029600779587862083,-0.016941771594390413,-0.5784943809228605,-0.5470610887001786,0.5474164900731958,0.5699713311525991,-0.5998454541362641,-0.4004298640085336,0.590455887533171,0.6357408169086847,0.6355560817310464,0.20574252580196964,-0.5590301021226725,0.6387782081016188,0.20026005171825562,1.0,-0.22091802647181516,-0.3009711685685377,0.3040937819031069,0.20574252580196958,0.9999999999999994,0.4176336213089202,0.6684181769187612,
rank_vrs,2019,0.1352753172190422,0.12897976209050716,0.1239841839419953,0.12912234552298957,0.03942876422733352,-0.0126230410111503,0.02596582472157858,-0.010031059975014434,0.48641278999683096,0.5948338501885656,-0.6525075355288704,-0.8704155537674731,-0.8700606425958258,-0.9879569614480331,-0.041738683932195576,-0.8685009284783227,-0.9876211222563522,-0.22091802647181516,1.0,-0.2689065089515711,0.26376440318727257,-0.9879569614480331,-0.2209180264718093,-0.6654098837583416,-0.42665908068295705,
pct_var_vrs,2019,-0.04168259481108058,-0.038978330425710236,-0.040904342854197924,-0.051059726038720214,0.09038658724861391,0.06632051742174021,-0.09924487752552047,-0.09500098213977606,0.024481581976019337,-0.07247772001851806,-0.005992614298247356,0.06667747321748886,0.0666458110880929,0.2852771663985029,0.11693647304243758,0.06629975770953377,0.28568075058915404,-0.3009711685685377,-0.2689065089515711,1.0,-0.6397074422626537,0.285277166398503,-0.30097116856853945,0.09302824470019697,-0.011699312129003573,
