id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1200336,AC,2017,17910,Mâncio Lima,194421000,15889291,2281,5.3,,1.3,2.2,10855.44,6965.93
1200336,AC,2019,18977,Mâncio Lima,205214000,18029252,2087,5.3,,1.2,,10813.83,8638.84
1200344,AC,2017,8886,Manoel Urbano,135401000,7407545,1397,5.0,,0.8,35.1,15237.56,5302.47
1200344,AC,2019,9459,Manoel Urbano,131637000,9234822,1536,5.3,,0.2,0.0,13916.59,6012.25
1200393,AC,2017,11353,Porto Walter,112711000,13084344,2173,3.7,,2.9,8.2,9927.86,6021.33
1200393,AC,2019,11982,Porto Walter,118375000,15991435,2451,4.2,,1.2,6.0,9879.4,6524.45
1200401,AC,2017,383443,Rio Branco,8153153000,137327259,9199,6.5,,0.3,,21263.01,14928.5
1200401,AC,2019,407319,Rio Branco,9130749000,172048627,8837,6.7,,0.2,,22416.7,19469.12
1200427,AC,2017,17945,Rodrigues Alves,185008000,17429189,1923,5.8,,1.7,,10309.72,9063.54
1200427,AC,2019,18930,Rodrigues Alves,190863000,19749685,1907,5.5,,1.7,1.0,10082.57,10356.42
1200450,AC,2017,21552,Senador Guiomard,359782000,16514132,1436,5.8,4.8,1.1,1.6,16693.67,11500.09
1200450,AC,2019,23024,Senador Guiomard,360656000,15189558,1389,5.8,,1.8,4.3,15664.35,10935.61
1200500,AC,2017,43139,Sena Madureira,500512000,22972590,3992,5.9,,2.7,14.7,11602.31,5754.66
1200500,AC,2019,45848,Sena Madureira,539331000,25946297,4091,5.7,,2.7,12.4,11763.46,6342.29
1200609,AC,2017,40024,Tarauacá,470854000,31160457,5286,4.8,4.8,3.5,1.3,11764.29,5894.9
1200609,AC,2019,42567,Tarauacá,482624000,34187298,4845,4.7,,3.8,7.0,11337.98,7056.2
1200708,AC,2017,18174,Xapuri,231302000,6945655,702,4.7,,4.1,,12727.08,9894.1
1200708,AC,2019,19323,Xapuri,274589000,8810862,704,5.8,,1.9,,14210.47,12515.43
1200807,AC,2017,17459,Porto Acre,229926000,9544747,1199,4.8,,1.5,10.8,13169.48,7960.59
1200807,AC,2019,18504,Porto Acre,226959000,13112150,1545,,,0.1,,12265.4,8486.83
1300029,AM,2017,15908,Alvarães,159083000,14497104,2824,3.3,3.5,8.0,15.5,10000.19,5133.54
1300029,AM,2019,16041,Alvarães,196154000,20506668,2651,3.5,,6.2,10.2,12228.29,7735.45
1300060,AM,2017,11242,Amaturá,80805000,10928605,1831,3.9,3.5,1.7,6.1,7187.78,5968.65
1300060,AM,2019,11536,Amaturá,95436000,11336020,1997,4.2,,0.7,8.5,8272.88,5676.52
1300201,AM,2017,19054,Atalaia do Norte,141205000,20744130,1856,4.4,,1.1,1.7,7410.78,11176.79
1300201,AM,2019,19921,Atalaia do Norte,150688000,19657009,2439,4.3,,1.4,14.8,7564.28,8059.45
1300300,AM,2017,38454,Autazes,328193000,32855351,5927,4.5,,3.1,7.9,8534.69,5543.34
1300300,AM,2019,39565,Autazes,388848000,42175349,6016,4.5,,2.1,7.0,9828.08,7010.53
1300409,AM,2017,27743,Barcelos,160672000,11444025,1789,4.3,,9.0,20.4,5791.44,6396.88
1300409,AM,2019,27502,Barcelos,189996000,15906434,1883,4.9,,4.2,16.1,6908.44,8447.39
1300680,AM,2017,18483,Boa Vista do Ramos,125739000,15352428,2147,,,2.3,5.8,6802.95,7150.64
1300680,AM,2019,19207,Boa Vista do Ramos,146215000,21522996,2327,4.1,,1.6,4.2,7612.59,9249.25
1300839,AM,2017,12820,Caapiranga,142346000,,2058,3.9,3.1,8.1,16.0,11103.43,
1300839,AM,2019,13081,Caapiranga,168773000,14619636,1919,,3.8,9.3,8.2,12902.15,7618.36
1300904,AM,2017,15490,Canutama,103082000,9006957,1681,3.6,,10.1,17.4,6654.74,5358.09
1300904,AM,2019,15629,Canutama,121948000,11278388,1774,3.2,,11.0,19.9,7802.67,6357.6
1301001,AM,2017,28337,Carauari,286003000,21572762,3078,4.0,,1.7,12.9,10092.92,7008.69
1301001,AM,2019,28294,Carauari,336549000,23605394,2907,4.5,,2.5,1.8,11894.71,8120.19
